"AppID","AppName","Publisher"
"Microsoft.VCRedist.2010.x64","Microsoft Visual C++ 2010 x64 Redistributable","Microsoft Corporation"
"Microsoft.VCRedist.2008.x64","Microsoft Visual C++ 2008 Redistributable - x64","Microsoft Corporation"
"Microsoft.VCRedist.2005.x64","Microsoft Visual C++ 2005 Redistributable (x64)","Microsoft Corporation"
"tailscale.tailscale","Tailscale","Tailscale Inc."
"Learnpulse.Screenpresso","Screenpresso","Learnpulse"
"CrystalDewWorld.CrystalDiskInfo","CrystalDiskInfo","Crystal Dew World"
"LIGHTNINGUK.ImgBurn","ImgBurn","LIGHTNING UK!"
"Famatech.AdvancedIPScanner","Advanced IP Scanner","Famatech"
"eTeks.SweetHome3D","Sweet Home 3D","eTeks"
"CodeSector.TeraCopy","TeraCopy","Code Sector"
"Microsoft.VCRedist.2022.arm64","Microsoft Visual C++ 2022 Redistributable (Arm64)","Microsoft Corporation"
"Mozilla.Firefox.ESR","Mozilla Firefox ESR","Mozilla"
"TELUS.BusinessConnectPhone","TELUS Business Connect Phone","TELUS"
"Egnyte.EgnyteDesktopApp","Egnyte Desktop App","Egnyte, Inc."
"BornToBeRoot.NETworkManager","NETworkManager","BornToBeRoot"
"suse.RancherDesktop","Rancher Desktop","SUSE"
"Microsoft.DotNet.AspNetCore.7","Microsoft ASP.NET Core Runtime 7.0","Microsoft Corporation"
"Keeper.KeeperDesktop","Keeper  Password Manager","Keeper Security Inc"
"Dell.DisplayManager","Dell Display Manager","Dell Inc."
"Microsoft.BingWallpaper","Bing Wallpaper","Microsoft Corporation"
"8x8.VirtualOfficeDesktop","8x8 Work","8x8 Inc."
"9NBLGGH4XJQ0","Stellar Secure Business","Stellar Library"
"Skillbrains.Lightshot","Lightshot","Skillbrains"
"HeidiSQL.HeidiSQL","HeidiSQL","Ansgar Becker"
"mRemoteNG.mRemoteNG","mRemoteNG","Next Generation Software"
"DaiyuuNobori.Win10Pcap","Win10Pcap","Daiyuu Nobori, University of Tsukuba, Japan"
"Blueberry.FlashBackPro","FlashBack Pro 5","Blueberry Software (UK) Ltd."
"Azul.Zulu.17.JRE","Azul Zulu JRE 17","Azul Systems, Inc."
"Logitech.LGS","Logitech Gaming Software","Logitech Inc."
"Logitech.LogiBolt","Logi Bolt","Logi"
"Logitech.GHUB","Logitech G HUB","Logitech"
"dotPDNLLC.paintdotnet","paint.net","dotPDN LLC"
"Gephi.Gephi","Gephi","Gephi"
"JanDeDobbeleer.OhMyPosh","Oh My Posh","Jan De Dobbeleer"
"BlueJeans.BlueJeans","BlueJeans","BlueJeans Network, Inc."
"Box.Box","Box","Box, Inc."
"Stardock.Start11","Stardock Start11","Stardock Software, Inc."
"TechSmith.Snagit.2020","Snagit 2020","TechSmith Corporation"
"Mattermost.MattermostDesktop","Mattermost","Mattermost, Inc."
"DominikReichl.KeePass","KeePass","Dominik Reichl"
"Microsoft.VisualStudio.2022.Enterprise","Visual Studio Enterprise 2022","Microsoft Corporation"
"SublimeHQ.SublimeText.3","Sublime Text 3","Sublime HQ Pty Ltd"
"MicroSIP.MicroSIP","MicroSIP","www.microsip.org"
"Sonosaurus.SonoBus","SonoBus","Sonosaurus LLC"
"ExclaimerLtd.CloudSignatureUpdateAgent","Exclaimer Cloud Signature Update Agent","Exclaimer Ltd"
"appmakes.Typora","Typora","typora.io"
"v2rayA.v2rayA","v2rayA","v2rayA Organization"
"PostgreSQL.pgAdmin","pgAdmin 4","The pgAdmin Development Team"
"Logitech.Sync","Logitech Sync","Logitech Europe S.A."
"Sogou.SogouInput","Sogou Input","Sogou.com"
"Datto.WindowsAgent","Datto Windows Agent","Datto Inc."
"Smile.TextExpander","TextExpander","Smile, Inc."
"Oracle.JDK.18","Java SE Development Kit 18","Oracle Corporation"
"dorssel.usbipd-win","usbipd-win","Frans van Dorsselaer"
"Prezi.PreziClassic","Prezi Classic","Prezi"
"PostgreSQL.pgAdmin","pgAdmin 4 (Machine Install)","The pgAdmin Development Team"
"Microsoft.DotNet.Runtime.6","Microsoft .NET Runtime 6.0","Microsoft Corporation"
"Ngrok.Ngrok","Ngrok","ngrok, Inc."
"TELUS.BusinessConnectPhone","TELUS Business Connect Phone (Machine Install)","TELUS"
"geeksoftwareGmbH.PDF24Creator","PDF24 Creator (Machine Install)","geek software GmbH"
"Xiaomi.MiService","MiService","Xiaomi"
"ByteDance.CapCut","CapCut","Bytedance Pte. Ltd."
"Upscayl.Upscayl","Upscayl","Upscayl"
"Nextcloud.NextcloudDesktop","Nextcloud","Nextcloud GmbH"
"MarkText.MarkText","Mark Text","Jocs"
"AdoptOpenJDK.OpenJDK.11","AdoptOpenJDK JDK with Hotspot 11","AdoptOpenJDK"
"TheDocumentFoundation.LibreOffice","LibreOffice","The Document Foundation"
"RedHat.Podman-Desktop","Podman Desktop","RedHat"
"Microsoft.XMLNotepad","XML Notepad","Microsoft Corporation"
"Obsidian.Obsidian","Obsidian","Obsidian"
"Microsoft.DotNet.Runtime.7","Microsoft .NET Runtime 7.0","Microsoft Corporation"
"Microsoft.MouseWithoutBorders","Microsoft Garage Mouse without Borders","Microsoft Garage"
"Tencent.TencentMeeting","Tencent Meeting","Tencent Technology (Shenzhen) Co. Ltd."
"EZBSystems.UltraISO","UltraISO Premium","EZB Systems, Inc."
"TechSmith.Camtasia","Camtasia","TechSmith Corporation"
"Neovim.Neovim","Neovim","neovim.io"
"KiCad.KiCad","KiCad","KiCad"
"SomePythonThings.WingetUIStore","WingetUI","Mart  Climent"
"AltDrag.AltDrag","AltDrag","Stefan Sundin"
"ClassicDIY.ModbusTool","ModbusTool","ClassicDIY"
"Insecure.Nmap","Nmap","Nmap Project"
"Splashtop.SplashtopStreamer.Deployment.MSI","Splashtop Streamer Deployment (MSI)","Splashtop Inc."
"JetBrains.PyCharm.Community.EAP","PyCharm Community Edition (EAP)","JetBrains s.r.o."
"dnGrep.dnGrep","dnGREP","dnGrep Community Contributors"
"","Google Chrome","Google"
"Talkdesk.Talkdesk","Talkdesk","Talkdesk"
"Opera.OperaGX","Opera GX Stable","Opera Software"
"Unity.UnityHub","Unity Hub","Unity Technologies Inc."
"RealVNC.VNCViewer","VNC Viewer","RealVNC"
"LogMeIn.LastPass","LastPass","GoTo Group, Inc."
"Jetbrains.Toolbox","JetBrains Toolbox","JetBrains"
"Scintilla.SciTE","SciTE Text Editor","ebswift.com"
"ManicTime.ManicTime","ManicTime","Finkit d.o.o."
"JetBrains.Rider.EAP","JetBrains Rider (EAP)","JetBrains s.r.o."
"JetBrains.Rider","JetBrains Rider","JetBrains s.r.o."
"OpenWhisperSystems.Signal","Signal","Signal Messenger, LLC"
"SoftDeluxe.FreeDownloadManager","Free Download Manager","Softdeluxe"
"Chocolatey.Chocolatey","Chocolatey","Chocolatey Software, Inc."
"WinFsp.WinFsp","WinFsp 2023","Navimatics LLC"
"flux.flux","f.lux","f.lux Software LLC"
"Webroot.SecureAnywhere","Webroot SecureAnywhere","Webroot"
"Microsoft.WindowsPCHealthCheck","Windows PC Health Check","Microsoft Corporation"
"Microsoft.AzureDataStudio","Azure Data Studio","Microsoft Corporation"
"SiberSystems.RoboForm","RoboForm","Siber Systems"
"WiseCleaner.WiseDiskCleaner","Wise Disk Cleaner","WiseCleaner.com, Inc."
"RoyalApps.RoyalTS.V7","Royal TS 7.00.50817.0","Royal Apps GmbH"
"ESET.EndpointAntivirus","ESET Endpoint Antivirus","ESET, spol. s r.o."
"CodecGuide.K-LiteCodecPack.Full","K-Lite Codec Pack Full","KLCP"
"Microsoft.VCRedist.2005.x86","Microsoft Visual C++ 2005 Redistributable","Microsoft Corporation"
"Microsoft.VCRedist.2008.x86","Microsoft Visual C++ 2008 Redistributable - x86","Microsoft Corporation"
"Microsoft.VCRedist.2010.x86","Microsoft Visual C++ 2010 x86 Redistributable","Microsoft Corporation"
"Microsoft.VCRedist.2012.x86","Microsoft Visual C++ 2012 Redistributable (x86)","Microsoft Corporation"
"Microsoft.VCRedist.2013.x86","Microsoft Visual C++ 2013 Redistributable (x86)","Microsoft Corporation"
"Microsoft.VCRedist.2015+.x86","Microsoft Visual C++ 2015-2022 Redistributable (x86)","Microsoft Corporation"
"3Dconnexion.3DxWare.10","3Dconnexion 3DxWare 10","3Dconnexion"
"Sinew.Enpass","Enpass","Enpass Technologies Inc."
"Microsoft.DotNet.Runtime.5","Microsoft .NET Runtime 5.0","Microsoft Corporation"
"Microsoft.DotNet.DesktopRuntime.5","Microsoft .NET Windows Desktop Runtime 5.0","Microsoft Corporation"
"RazerInc.RazerInstaller","Razer Synapse 3","Razer Inc."
"Rainmeter.Rainmeter","Rainmeter","Rainmeter"
"FastStone.Capture","FastStone Capture","FastStone Corporation"
"Dell.CommandUpdate.Universal","Dell Command Update for Windows Universal","Dell Inc."
"","Winget","Microsoft"
"Axosoft.GitKraken","GitKraken","GitKraken"
"Dialpad.Dialpad","Dialpad","Dialpad"
"JetBrains.PyCharm.Professional","PyCharm Professional Edition","JetBrains s.r.o."
"JetBrains.IntelliJIDEA.Community","IntelliJ IDEA Community Edition","JetBrains s.r.o."
"Amazon.AWSVPNClient","AWS VPN Client","Amazon"
"Ghisler.TotalCommander","Total Commander","Ghisler Software GmbH"
"PDFsam.PDFsam","PDFsam Basic","Sober Lemur S.a.s. di Vacondio Andrea"
"Microsoft.OpenJDK.17","Microsoft Build of OpenJDK with Hotspot 17","Microsoft"
"OpenMedia.4KVideoDownloader","4K Video Downloader","Open Media LLC"
"Meltytech.Shotcut","Shotcut","Meltytech, LLC"
"TechSmith.Snagit.2024","Snagit 2024","TechSmith Corporation"
"OpenJS.NodeJS.LTS","Node.js LTS","Node.js Foundation"
"HP.ImageAssistant","HP Image Assistant","HP Inc."
"KeePassXCTeam.KeePassXC","KeePassXC","KeePassXC Team"
"Notion.Notion","Notion","Notion Labs, Inc"
"ONLYOFFICE.DesktopEditors","ONLYOFFICE Desktop Editors","Ascensio System SIA"
"Oracle.JDK.21","Java SE Development Kit 21","Oracle Corporation"
"Trimble.SketchUp.Pro.2022","SketchUp Pro 2022","Trimble, Inc."
"Microsoft.OpenJDK.17","Microsoft Build of OpenJDK with Hotspot 17","Microsoft"
"Figma.Figma","Figma","Figma, Inc."
"Kubernetes.minikube","Kubernetes - Minikube - A Local Kubernetes Development Environment","Kubernetes"
"EclipseAdoptium.Temurin.17.JDK","Eclipse Temurin JDK with Hotspot 17","Eclipse Adoptium"
"EclipseAdoptium.Temurin.8.JDK","Eclipse Temurin JDK with Hotspot 8","Eclipse Adoptium"
"Oracle.JDK.17","Java SE Development Kit 17","Oracle Corporation"
"ojdkbuild.openjdk.11.jdk","OpenJDK 11","ojdkbuild open-source project"
"Elgato.StreamDeck","Elgato Stream Deck","Elgato Systems GmbH"
"Samsung.SmartSwitch","Smart Switch","Samsung Electronics Co., Ltd."
"Xmind.Xmind.8","XMind 8","XMind Ltd."
"CoreyButler.NVMforWindows","NVM for Windows","Ecor Ventures LLC"
"SteelSeries.GG","SteelSeries GG","SteelSeries ApS"
"Telerik.Fiddler.Classic","Progress Telerik Fiddler Classic","Progress Software Corporation"
"GanttProject.GanttProject","GanttProject","BarD Software s.r.o."
"Microsoft.OpenJDK.21","Microsoft Build of OpenJDK with Hotspot 21","Microsoft"
"NordSecurity.NordVPN","NordVPN","Nord Security"
"EclipseAdoptium.Temurin.21.JDK","Eclipse Temurin JDK with Hotspot","Eclipse Adoptium"
"Airtame.Airtame","Airtame","Airtame"
"EclipseAdoptium.Temurin.11.JDK","Eclipse Temurin JDK with Hotspot 11","Eclipse Adoptium"
"LeNgocKhoa.Laragon","Laragon","leokhoa"
"Microsoft.DotNet.DesktopRuntime.6","Microsoft .NET Windows Desktop Runtime 6.0","Microsoft Corporation"
"XnSoft.XnViewMP","XnView MP","Pierre-e Gougelet"
"XnSoft.XnView.Classic","XnView","Gougelet Pierre-e"
"Clockodo.Clockodo","Clockodo","Clockodo GmbH"
"Microsoft.Sysinternals.ProcessMonitor","Process Monitor","Microsoft Corporation"
"Microsoft.WindowsAdminCenter","Windows Admin Center","Microsoft Corporation"
"EdrawSoft.MindMaster","MindMaster","EdrawSoft Co.,Ltd."
"WatchGuard.MobileVPNWithSSLClient","WatchGuard Mobile VPN with SSL client","WatchGuard"
"JetBrains.WebStorm","WebStorm","JetBrains s.r.o."
"Balsamiq.Wireframes","Balsamiq Wireframes","Balsamiq"
"MongoDB.Compass.Community","MongoDB Compass Community","MongoDB"
"JohnMacFarlane.Pandoc","Pandoc","John MacFarlane"
"DaxStudio.DaxStudio","DAX Studio","DAX Studio"
"Hashicorp.Vagrant","Vagrant","HashiCorp"
"Microsoft.Teams.Classic","Microsoft Teams Classic","Microsoft Corporation"
"ETHZurich.SafeExamBrowser","Safe Exam Browser","ETH Zurich"
"KDE.Krita","Krita","Krita Foundation"
"Twilio.Authy","Authy Desktop","Twilio Inc."
"Canva.Canva","Canva","Canva Pty Ltd"
"Microsoft.ReportBuilder","Microsoft Report Builder","Microsoft Corporation"
"Azeus.Convene","Convene","Convene"
"Miro.Miro","Miro","Miro"
"Microsoft.AzureInformationProtectionViewer","Microsoft Azure Information Protection Viewer","Microsoft Corporation"
"Kopia.KopiaUI","KopiaUI","Kopia Authors"
"Microsoft.Skype","Skype","Skype Technologies S.A."
"JAMSoftware.TreeSize","TreeSize","JAM Software"
"qishibo.AnotherRedisDesktopManager","Another Redis Desktop Manager","Another"
"Bitvise.SSH.Client","Bitvise SSH Client","Bitvise Limited"
"Eugeny.Tabby","Tabby","Eugene Pankov"
"Microsoft.PowerBI","Microsoft PowerBI Desktop","Microsoft Corporation"
"TeamViewer.TeamViewer.Host","TeamViewer Host (MSI)","TeamViewer"
"VideoLAN.VLC","VLC media player (MSI 32-Bit)","VideoLAN"
"VideoLAN.VLC","VLC media player (MSI 64-Bit)","VideoLAN"
"Yealink.YealinkUSBConnect","Yealink USB Connect","Yealink"
"VideoLAN.VLC","VLC media player (EXE 64-Bit)","VideoLAN"
"VideoLAN.VLC","VLC media player (EXE 32-Bit)","VideoLAN"
"CatoNetworks.CatoClient","Cato Client","Cato Networks"
"TrackerSoftware.PDF-XChangeEditor","PDF-XChange Editor","Tracker Software Products (Canada) Ltd."
"NordSecurity.NordPass","NordPass","NordPass Team"
"NextDNS.NextDNS.Desktop","NextDNS","NextDNS"
"Meld.Meld","Meld","Kai Willadsen"
"Krisp.Krisp","Krisp","Krisp Technologies, Inc."
"Microsoft.VisualStudio.2019.Enterprise","Visual Studio Enterprise 2019","Microsoft Corporation"
"GnuPG.Gpg4win","Gpg4win","The Gpg4win Project"
"Caphyon.AdvancedInstaller","Advanced Installer","Caphyon"
"Samsung.EasyConnectionToScreen","Easy Connection to Screen","Samsung"
